intersection_id,name,latitude,longitude,importance
INT000,路口1,39.91003928827176,116.3677649439456,2
INT001,路口2,39.92054612690199,116.44687948039126,1
INT002,路口3,39.89023182244571,116.40849082227254,1
INT003,路口4,39.854362439985735,116.36545618175428,1
INT004,路口5,39.92649394723945,116.37888078263903,1
INT005,路口6,39.85684342911607,116.38354825300674,1
INT006,路口7,39.94114467055648,116.39570154780704,1
INT007,路口8,39.90415034560206,116.4381982569162,2
INT008,路口9,39.90209104138482,116.423297340713,1
INT009,路口10,39.878697094249624,116.4120959277378,3
INT010,路口11,39.92880763307581,116.4306172365548,3
INT011,路口12,39.891816549822956,116.38544753056478,2
INT012,路口13,39.91530709947699,116.35961950501265,1
INT013,路口14,39.93068735089171,116.38695351501767,2
INT014,路口15,39.858080507085916,116.42212134237539,1
INT015,路口16,39.89187114562218,116.4145305691349,2
INT016,路口17,39.91291444394971,116.43139994775234,1
INT017,路口18,39.87889113276693,116.35798679983246,1
INT018,路口19,39.92963017520641,116.4490058800319,2
INT019,路口20,39.88684985771145,116.42843588337003,2
